Date,pH,EC,Turbidity,WQI,Class,WQI_new,Class_new,Qi_pH,Qi_EC,Qi_Turbidity,W_pH,W_EC,W_Turbidity
2025-05-12,6.8023,1100,0.5,62.4,Moderate,11.3068,Excellent,13.1769,73.3333,10.0,0.3696,0.0021,0.6283
2025-05-13,8.4228,987,120.0,1016.7,Hazardous,1543.1407,Unsuitable,94.8516,65.8,2400.0,0.3696,0.0021,0.6283
2025-05-14,6.8235,1064,120.0,952.5,Hazardous,1512.4437,Unsuitable,11.7666,70.9333,2400.0,0.3696,0.0021,0.6283
2025-05-15,7.8801,1170,106.8819,898.2,Hazardous,1364.9516,Unsuitable,58.6758,78.0,2137.639,0.3696,0.0021,0.6283
2025-05-16,6.2658,1090,51.9383,410.8,Hazardous,670.9118,Unsuitable,48.9497,72.6667,1038.7661,0.3696,0.0021,0.6283
2025-05-17,6.9692,1136,106.4542,864.0,Hazardous,1338.6438,Unsuitable,2.053,75.7333,2129.0835,0.3696,0.0021,0.6283
2025-05-18,6.2499,1057,39.8368,388.1,Hazardous,519.228,Unsuitable,50.0062,70.4667,796.7367,0.3696,0.0021,0.6283
2025-05-19,6.8401,1185,49.3297,448.9,Hazardous,623.9918,Unsuitable,10.6569,79.0,986.5937,0.3696,0.0021,0.6283
2025-05-20,7.9794,1114,0.5,91.3,Moderate,30.5717,Good,65.2959,74.2667,10.0,0.3696,0.0021,0.6283
2025-05-21,5.5,1133,58.9942,540.8,Hazardous,778.4521,Unsuitable,100.0,75.5333,1179.8846,0.3696,0.0021,0.6283
2025-05-22,7.5873,1200,42.2422,340.3,Hazardous,545.4645,Unsuitable,39.1558,80.0,844.8447,0.3696,0.0021,0.6283
2025-05-23,7.3973,1188,0.5,10.0,Safe,16.239,Excellent,26.4886,79.2,10.0,0.3696,0.0021,0.6283
2025-05-24,6.5937,1106,36.689,345.8,Hazardous,471.208,Unsuitable,27.0871,73.7333,733.7805,0.3696,0.0021,0.6283
2025-05-25,5.7707,1093,35.269,328.3,Hazardous,473.6402,Unsuitable,81.9522,72.8667,705.3808,0.3696,0.0021,0.6283
2025-05-26,7.2373,1105,120.0,1035.5,Hazardous,1513.9487,Unsuitable,15.8231,73.6667,2400.0,0.3696,0.0021,0.6283
2025-05-27,6.6562,1143,83.7397,698.6,Hazardous,1060.9234,Unsuitable,22.923,76.2,1674.7943,0.3696,0.0021,0.6283
2025-05-28,7.3924,1115,39.8066,357.9,Hazardous,510.0436,Unsuitable,26.1628,74.3333,796.1318,0.3696,0.0021,0.6283
2025-05-29,7.1888,1102,51.6185,422.3,Hazardous,653.4545,Unsuitable,12.5851,73.4667,1032.3699,0.3696,0.0021,0.6283
2025-05-30,8.715,1186,41.4373,432.6,Hazardous,563.1342,Unsuitable,114.3366,79.0667,828.7463,0.3696,0.0021,0.6283
2025-05-31,6.9364,1115,29.1385,292.0,Hazardous,367.8821,Unsuitable,4.2374,74.3333,582.7692,0.3696,0.0021,0.6283
2025-06-01,6.1789,1023,0.5,20.3,Safe,26.6569,Good,54.7382,68.2,10.0,0.3696,0.0021,0.6283
2025-06-02,7.3409,924,37.2359,318.5,Hazardous,476.4426,Unsuitable,22.7236,61.6,744.7189,0.3696,0.0021,0.6283
2025-06-03,7.3802,1000,2.4717,52.9,Moderate,40.5678,Good,25.3462,66.6667,49.4348,0.3696,0.0021,0.6283
2025-06-04,8.4807,936,0.5,35.2,Safe,42.8976,Good,98.7131,62.4,10.0,0.3696,0.0021,0.6283
2025-06-05,7.9744,963,75.9277,692.8,Hazardous,978.2685,Unsuitable,64.9612,64.2,1518.555,0.3696,0.0021,0.6283
2025-06-06,7.5124,887,68.9195,576.7,Hazardous,878.8076,Unsuitable,34.1612,59.1333,1378.3906,0.3696,0.0021,0.6283
2025-06-07,8.5813,882,0.5,51.0,Moderate,45.3683,Good,105.4184,58.8,10.0,0.3696,0.0021,0.6283
2025-06-08,6.0193,941,38.8932,286.8,Hazardous,513.037,Unsuitable,65.3818,62.7333,777.8647,0.3696,0.0021,0.6283
2025-06-09,6.5496,964,104.2323,822.3,Hazardous,1321.0378,Unsuitable,30.0239,64.2667,2084.6469,0.3696,0.0021,0.6283
2025-06-10,6.2726,922,107.9435,873.3,Hazardous,1374.4942,Unsuitable,48.4962,61.4667,2158.8698,0.3696,0.0021,0.6283
2025-06-11,6.7911,862,105.9929,840.2,Hazardous,1337.1982,Unsuitable,13.927,57.4667,2119.8588,0.3696,0.0021,0.6283
2025-06-12,5.8377,859,48.3342,457.1,Hazardous,636.1361,Unsuitable,77.4845,57.2667,966.6843,0.3696,0.0021,0.6283
2025-06-13,7.7812,856,0.5,30.1,Safe,25.6523,Good,52.0832,57.0667,10.0,0.3696,0.0021,0.6283
2025-06-14,6.953,840,0.5,77.0,Moderate,7.5587,Excellent,3.134,56.0,10.0,0.3696,0.0021,0.6283
2025-06-15,5.7468,925,66.1935,586.6,Hazardous,862.8099,Unsuitable,83.5461,61.6667,1323.8709,0.3696,0.0021,0.6283
2025-06-16,6.1866,971,68.2194,569.9,Hazardous,877.4374,Unsuitable,54.2282,64.7333,1364.3871,0.3696,0.0021,0.6283
2025-06-17,7.4705,919,120.0,989.0,Hazardous,1519.6684,Unsuitable,31.3689,61.2667,2400.0,0.3696,0.0021,0.6283
2025-06-18,7.9773,818,110.3246,915.5,Hazardous,1410.5579,Unsuitable,65.1554,54.5333,2206.4912,0.3696,0.0021,0.6283
2025-06-19,8.8,911,38.3356,400.3,Hazardous,526.2127,Unsuitable,120.0,60.7333,766.7129,0.3696,0.0021,0.6283
2025-06-20,8.8,913,0.5,10.0,Safe,50.7619,Poor,120.0,60.8667,10.0,0.3696,0.0021,0.6283
2025-06-21,7.568,1014,27.4177,205.6,Hazardous,358.6743,Unsuitable,37.8669,67.6,548.3547,0.3696,0.0021,0.6283
2025-06-22,6.2117,854,58.752,486.2,Hazardous,757.8327,Unsuitable,52.5511,56.9333,1175.0406,0.3696,0.0021,0.6283
2025-06-23,5.5,902,34.2546,334.3,Hazardous,467.5356,Unsuitable,100.0,60.1333,685.0911,0.3696,0.0021,0.6283
2025-06-24,7.4263,997,12.2987,129.1,Poor,165.1906,Unsuitable,28.4191,66.4667,245.9735,0.3696,0.0021,0.6283
2025-06-25,6.3823,940,60.835,528.8,Hazardous,779.8164,Unsuitable,41.1778,62.6667,1216.7002,0.3696,0.0021,0.6283
2025-06-26,6.7664,945,16.6182,175.3,Poor,214.7158,Unsuitable,15.5723,63.0,332.3647,0.3696,0.0021,0.6283
2025-06-27,6.5764,925,9.3675,129.3,Poor,128.2816,Unsuitable,28.2429,61.6667,187.3499,0.3696,0.0021,0.6283
2025-06-28,7.0317,935,64.2567,574.6,Hazardous,808.3745,Unsuitable,2.1105,62.3333,1285.1342,0.3696,0.0021,0.6283
2025-06-29,8.1974,955,22.5753,228.1,Hazardous,313.3244,Unsuitable,79.8298,63.6667,451.5063,0.3696,0.0021,0.6283
2025-06-30,7.3194,884,60.322,537.5,Hazardous,766.0128,Unsuitable,21.2921,58.9333,1206.4407,0.3696,0.0021,0.6283
2025-07-01,7.0144,660,71.2106,592.1,Hazardous,895.2951,Unsuitable,0.9613,44.0,1424.2115,0.3696,0.0021,0.6283
2025-07-02,6.1672,558,0.5,20.8,Safe,26.8813,Good,55.5211,37.2,10.0,0.3696,0.0021,0.6283
2025-07-03,5.5499,635,20.604,219.3,Hazardous,294.7338,Unsuitable,96.6763,42.3333,412.0796,0.3696,0.0021,0.6283
2025-07-04,6.6979,628,120.0,989.0,Hazardous,1515.4783,Unsuitable,20.1418,41.8667,2400.0,0.3696,0.0021,0.6283
2025-07-05,7.1157,592,0.5,13.7,Safe,9.2168,Excellent,7.714,39.4667,10.0,0.3696,0.0021,0.6283
2025-07-06,8.8,619,0.5,99.4,Moderate,50.7209,Poor,120.0,41.2667,10.0,0.3696,0.0021,0.6283
2025-07-07,7.2935,592,0.5,10.0,Safe,13.5979,Excellent,19.5678,39.4667,10.0,0.3696,0.0021,0.6283
2025-07-08,8.117,572,54.8373,445.2,Hazardous,716.7001,Unsuitable,74.4688,38.1333,1096.7451,0.3696,0.0021,0.6283
2025-07-09,6.6853,604,54.9585,429.3,Hazardous,698.4582,Unsuitable,20.9782,40.2667,1099.1698,0.3696,0.0021,0.6283
2025-07-10,6.023,570,44.9955,390.9,Hazardous,589.5772,Unsuitable,65.1358,38.0,899.9107,0.3696,0.0021,0.6283
2025-07-11,6.2353,635,120.0,981.7,Hazardous,1526.8763,Unsuitable,50.9783,42.3333,2400.0,0.3696,0.0021,0.6283
2025-07-12,6.4671,568,0.5,10.0,Safe,19.4936,Excellent,35.5287,37.8667,10.0,0.3696,0.0021,0.6283
2025-07-13,8.8,652,79.443,648.7,Hazardous,1042.7409,Unsuitable,120.0,43.4667,1588.8607,0.3696,0.0021,0.6283
2025-07-14,6.3742,567,120.0,963.5,Hazardous,1523.4456,Unsuitable,41.7217,37.8,2400.0,0.3696,0.0021,0.6283
2025-07-15,7.9777,595,0.5,86.8,Moderate,30.4559,Good,65.1787,39.6667,10.0,0.3696,0.0021,0.6283
2025-07-16,6.2954,592,27.408,280.2,Hazardous,361.8586,Unsuitable,46.9732,39.4667,548.16,0.3696,0.0021,0.6283
2025-07-17,8.0676,680,2.3822,59.8,Moderate,56.3358,Poor,71.1736,45.3333,47.6444,0.3696,0.0021,0.6283
2025-07-18,7.5395,635,0.5,30.6,Safe,19.666,Excellent,35.9697,42.3333,10.0,0.3696,0.0021,0.6283
2025-07-19,7.0163,610,30.9997,228.2,Hazardous,390.0364,Unsuitable,1.0899,40.6667,619.9931,0.3696,0.0021,0.6283
2025-07-20,7.1283,642,120.0,916.7,Hazardous,1511.1969,Unsuitable,8.5526,42.8,2400.0,0.3696,0.0021,0.6283
2025-07-21,6.5351,525,120.0,968.2,Hazardous,1519.4742,Unsuitable,30.9923,35.0,2400.0,0.3696,0.0021,0.6283
2025-07-22,7.5986,618,30.3505,240.2,Hazardous,396.2267,Unsuitable,39.906,41.2,607.0105,0.3696,0.0021,0.6283
2025-07-23,6.7281,710,120.0,1003.6,Hazardous,1514.7441,Unsuitable,18.1244,47.3333,2400.0,0.3696,0.0021,0.6283
2025-07-24,5.9837,626,55.271,442.8,Hazardous,719.6768,Unsuitable,67.7545,41.7333,1105.4203,0.3696,0.0021,0.6283
2025-07-25,5.9331,623,120.0,972.5,Hazardous,1534.3206,Unsuitable,71.1248,41.5333,2400.0,0.3696,0.0021,0.6283
2025-07-26,7.3344,645,46.6263,404.0,Hazardous,594.2463,Unsuitable,22.2929,43.0,932.5269,0.3696,0.0021,0.6283
2025-07-27,8.6931,660,61.6757,538.2,Hazardous,816.8408,Unsuitable,112.8755,44.0,1233.5141,0.3696,0.0021,0.6283
2025-07-28,7.3222,530,77.3999,649.0,Hazardous,980.6374,Unsuitable,21.4817,35.3333,1547.9976,0.3696,0.0021,0.6283
2025-07-29,7.0531,544,120.0,944.9,Hazardous,1509.3296,Unsuitable,3.5372,36.2667,2400.0,0.3696,0.0021,0.6283
2025-07-30,7.4438,629,109.9871,925.2,Hazardous,1393.1441,Unsuitable,29.5857,41.9333,2199.7413,0.3696,0.0021,0.6283
2025-07-31,8.4293,588,5.4428,76.0,Moderate,103.6955,Unsuitable,95.2878,39.2,108.8561,0.3696,0.0021,0.6283
2025-08-01,7.3796,599,120.0,1002.3,Hazardous,1517.3831,Unsuitable,25.3066,39.9333,2400.0,0.3696,0.0021,0.6283
2025-08-02,6.7707,526,29.5367,262.7,Hazardous,376.8878,Unsuitable,15.287,35.0667,590.7336,0.3696,0.0021,0.6283
2025-08-03,8.2364,453,20.6794,164.5,Poor,290.3898,Unsuitable,82.4257,30.2,413.5889,0.3696,0.0021,0.6283
2025-08-04,7.5819,483,117.5037,968.1,Hazardous,1490.9813,Unsuitable,38.7908,32.2,2350.0736,0.3696,0.0021,0.6283
2025-08-05,8.6513,416,56.743,527.6,Hazardous,753.7897,Unsuitable,110.0846,27.7333,1134.8599,0.3696,0.0021,0.6283
2025-08-06,7.3447,529,73.8796,619.2,Hazardous,936.9544,Unsuitable,22.9786,35.2667,1477.5929,0.3696,0.0021,0.6283
2025-08-07,5.9848,532,55.5589,468.0,Hazardous,723.2547,Unsuitable,67.6813,35.4667,1111.1788,0.3696,0.0021,0.6283
2025-08-08,5.846,521,77.8962,713.2,Hazardous,1007.3679,Unsuitable,76.9353,34.7333,1557.9233,0.3696,0.0021,0.6283
2025-08-09,8.7625,589,84.0159,746.2,Hazardous,1099.273,Unsuitable,117.502,39.2667,1680.3188,0.3696,0.0021,0.6283
2025-08-10,8.8,594,0.5,62.9,Moderate,50.7174,Poor,120.0,39.6,10.0,0.3696,0.0021,0.6283
2025-08-11,6.9942,532,100.7452,836.0,Hazardous,1266.2024,Unsuitable,0.3837,35.4667,2014.904,0.3696,0.0021,0.6283
2025-08-12,6.7975,444,0.5,86.2,Moderate,11.3348,Excellent,13.5005,29.6,10.0,0.3696,0.0021,0.6283
2025-08-13,8.5795,568,0.5,101.4,Poor,45.2803,Good,105.2987,37.8667,10.0,0.3696,0.0021,0.6283
2025-08-14,6.0982,565,50.5461,409.7,Hazardous,657.4717,Unsuitable,60.1189,37.6667,1010.9217,0.3696,0.0021,0.6283
2025-08-15,6.3033,554,60.4056,504.9,Hazardous,776.3128,Unsuitable,46.445,36.9333,1208.1113,0.3696,0.0021,0.6283
2025-08-16,7.7891,584,6.571,117.4,Poor,102.0989,Unsuitable,52.6098,38.9333,131.4207,0.3696,0.0021,0.6283
2025-08-17,6.7865,488,112.1326,881.1,Hazardous,1414.4129,Unsuitable,14.2359,32.5333,2242.6527,0.3696,0.0021,0.6283
2025-08-18,7.1627,630,0.5,10.0,Safe,10.3804,Excellent,10.8479,42.0,10.0,0.3696,0.0021,0.6283
2025-08-19,7.0098,497,26.4131,219.3,Hazardous,332.2231,Unsuitable,0.6516,33.1333,528.262,0.3696,0.0021,0.6283
